,Music,Slow songs or fast songs,Movies,History,Psychology,Politics,Mathematics,Science and technology,Reading,Foreign languages,Religion,Passive sport,Active sport,Fun with friends,Smoking,Alcohol,Writing notes,Thinking ahead,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Empathy,Compassion to animals,God,Number of friends,Lying,Achievements,Happiness in life,Interests or hobbies,Finances,Age,Number of siblings,Education,Village - town
0,5.0,3.0,5.0,1.0,5.0,1.0,3.0,4.0,3.0,5.0,1.0,1.0,5.0,5.0,never smoked,drink a lot,5.0,2.0,4.0,1.0,3.0,5.0,1.0,3.0,5.0,1.0,3,never,4.0,4.0,3.0,3.0,20.0,1.0,college/bachelor degree,village
1,4.0,4.0,5.0,1.0,3.0,4.0,5.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,never smoked,drink a lot,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,1.0,3,sometimes,2.0,4.0,3.0,3.0,19.0,2.0,college/bachelor degree,city
2,5.0,5.0,5.0,1.0,2.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,tried smoking,drink a lot,5.0,5.0,5.0,1.0,5.0,2.0,4.0,5.0,4.0,5.0,3,sometimes,3.0,4.0,5.0,2.0,20.0,2.0,secondary school,city
3,5.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,2.0,former smoker,drink a lot,4.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,2.0,4.0,1,only to avoid hurting someone,3.0,2.0,,2.0,22.0,1.0,college/bachelor degree,city
4,5.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,tried smoking,social drinker,2.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,3,everytime it suits me,3.0,3.0,3.0,4.0,20.0,1.0,secondary school,village
5,5.0,3.0,5.0,5.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,never smoked,never,3.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,5.0,3.0,3,only to avoid hurting someone,2.0,3.0,5.0,2.0,20.0,1.0,secondary school,city
6,5.0,5.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,4.0,1.0,5.0,3.0,5.0,tried smoking,social drinker,5.0,3.0,5.0,3.0,4.0,4.0,1.0,4.0,5.0,5.0,3,never,4.0,5.0,4.0,4.0,20.0,1.0,secondary school,village
7,5.0,3.0,5.0,5.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,4.0,5.0,4.0,current smoker,drink a lot,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,5.0,4.0,4,sometimes,4.0,4.0,4.0,3.0,19.0,1.0,college/bachelor degree,city
8,5.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,4.0,tried smoking,social drinker,1.0,2.0,4.0,1.0,4.0,2.0,2.0,5.0,4.0,5.0,2,sometimes,2.0,3.0,1.0,2.0,18.0,1.0,secondary school,city
9,5.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,never smoked,drink a lot,2.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,5.0,5.0,3,sometimes,4.0,4.0,3.0,4.0,19.0,3.0,secondary school,city
10,5.0,3.0,5.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,2.0,5.0,1.0,4.0,current smoker,social drinker,4.0,3.0,4.0,1.0,3.0,2.0,1.0,5.0,5.0,4.0,3,sometimes,3.0,4.0,3.0,2.0,19.0,2.0,secondary school,city
11,5.0,3.0,5.0,2.0,2.0,5.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0,3.0,tried smoking,never,5.0,1.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,1.0,4,everytime it suits me,3.0,3.0,4.0,2.0,17.0,1.0,primary school,city
12,5.0,3.0,5.0,4.0,4.0,4.0,1.0,3.0,5.0,5.0,1.0,5.0,3.0,4.0,tried smoking,social drinker,5.0,5.0,5.0,4.0,4.0,3.0,1.0,5.0,5.0,1.0,3,only to avoid hurting someone,3.0,4.0,2.0,4.0,24.0,10.0,college/bachelor degree,city
13,5.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,5.0,1.0,3.0,3.0,5.0,never smoked,social drinker,3.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3,only to avoid hurting someone,4.0,4.0,5.0,3.0,19.0,1.0,secondary school,city
14,5.0,3.0,4.0,2.0,5.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,5.0,current smoker,social drinker,5.0,5.0,4.0,1.0,5.0,4.0,1.0,5.0,5.0,5.0,5,only to avoid hurting someone,4.0,5.0,2.0,5.0,22.0,1.0,college/bachelor degree,city
15,1.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,5.0,3.0,5.0,former smoker,social drinker,,3.0,4.0,5.0,3.0,5.0,1.0,4.0,5.0,1.0,3,only to avoid hurting someone,3.0,2.0,3.0,3.0,18.0,0.0,secondary school,city
16,5.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,5.0,current smoker,drink a lot,2.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4,everytime it suits me,3.0,4.0,4.0,3.0,19.0,2.0,college/bachelor degree,city
17,5.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,tried smoking,social drinker,5.0,4.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,2.0,2,everytime it suits me,4.0,2.0,4.0,1.0,20.0,1.0,secondary school,village
18,5.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,1.0,3.0,3.0,3.0,tried smoking,social drinker,3.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,2.0,5.0,2,only to avoid hurting someone,2.0,3.0,4.0,4.0,18.0,2.0,secondary school,city
19,5.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,former smoker,drink a lot,1.0,4.0,5.0,3.0,4.0,3.0,1.0,5.0,1.0,1.0,4,only to avoid hurting someone,2.0,4.0,4.0,2.0,18.0,1.0,secondary school,city
20,5.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,5.0,5.0,4.0,never smoked,never,3.0,2.0,4.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,3,only to avoid hurting someone,3.0,3.0,5.0,2.0,20.0,1.0,secondary school,city
21,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,1.0,4.0,1.0,5.0,3.0,5.0,tried smoking,social drinker,1.0,2.0,4.0,2.0,3.0,4.0,2.0,1.0,5.0,3.0,3,sometimes,4.0,4.0,5.0,2.0,24.0,1.0,secondary school,city
22,5.0,3.0,5.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,tried smoking,social drinker,1.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,5.0,5.0,2,sometimes,2.0,3.0,3.0,5.0,22.0,1.0,college/bachelor degree,city
23,5.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,4.0,5.0,tried smoking,social drinker,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,5.0,2.0,3,sometimes,2.0,4.0,3.0,2.0,20.0,3.0,secondary school,city
24,5.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,tried smoking,never,5.0,5.0,5.0,1.0,5.0,2.0,2.0,5.0,5.0,4.0,2,only to avoid hurting someone,3.0,2.0,5.0,3.0,19.0,1.0,secondary school,city
25,5.0,3.0,5.0,2.0,2.0,1.0,3.0,1.0,4.0,5.0,1.0,3.0,4.0,5.0,tried smoking,social drinker,5.0,4.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,2.0,4,sometimes,2.0,4.0,2.0,2.0,20.0,1.0,secondary school,city
26,5.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,tried smoking,social drinker,4.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,5.0,5.0,4,sometimes,3.0,4.0,5.0,5.0,22.0,1.0,college/bachelor degree,city
27,4.0,5.0,5.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,,3.0,4.0,4.0,never smoked,social drinker,3.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,5.0,4.0,3,sometimes,3.0,3.0,3.0,3.0,19.0,1.0,secondary school,city
28,5.0,3.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,5.0,5.0,former smoker,social drinker,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,5,sometimes,2.0,5.0,5.0,3.0,20.0,2.0,secondary school,village
29,5.0,4.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,tried smoking,social drinker,5.0,5.0,4.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,4,sometimes,3.0,4.0,4.0,4.0,19.0,2.0,secondary school,village
30,4.0,3.0,5.0,2.0,3.0,3.0,1.0,4.0,4.0,4.0,2.0,1.0,5.0,5.0,former smoker,drink a lot,2.0,3.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,4,everytime it suits me,3.0,4.0,4.0,2.0,25.0,1.0,secondary school,city
31,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,1.0,4.0,tried smoking,social drinker,4.0,4.0,5.0,2.0,3.0,1.0,2.0,5.0,4.0,5.0,3,sometimes,2.0,4.0,3.0,4.0,22.0,1.0,secondary school,city
32,5.0,5.0,5.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,current smoker,social drinker,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,5,only to avoid hurting someone,2.0,4.0,5.0,1.0,20.0,4.0,secondary school,city
33,5.0,4.0,4.0,5.0,3.0,5.0,2.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,tried smoking,social drinker,2.0,1.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4,sometimes,5.0,5.0,5.0,2.0,27.0,1.0,masters degree,city
34,5.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,tried smoking,social drinker,1.0,3.0,4.0,4.0,5.0,5.0,1.0,2.0,1.0,5.0,4,sometimes,3.0,3.0,3.0,3.0,20.0,5.0,college/bachelor degree,city
35,5.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,tried smoking,social drinker,1.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,5.0,5.0,3,sometimes,3.0,5.0,2.0,3.0,19.0,1.0,secondary school,village
36,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,5.0,never smoked,social drinker,3.0,4.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,1.0,2,only to avoid hurting someone,3.0,4.0,3.0,5.0,18.0,1.0,secondary school,city
37,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,2.0,4.0,5.0,3.0,5.0,5.0,former smoker,social drinker,2.0,4.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,1,sometimes,3.0,4.0,5.0,3.0,21.0,1.0,secondary school,city
38,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,2.0,3.0,4.0,5.0,tried smoking,social drinker,5.0,5.0,5.0,1.0,4.0,2.0,2.0,5.0,5.0,5.0,2,only to avoid hurting someone,1.0,3.0,2.0,5.0,23.0,1.0,secondary school,village
39,5.0,3.0,4.0,4.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,5.0,5.0,3.0,never smoked,never,1.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,3.0,1,sometimes,3.0,3.0,5.0,3.0,21.0,1.0,secondary school,city
