imbalance,accuracy,loss,learning_rate,loss_function,optimizer_name,stopped_epoch,epochs,dense_layers,dense_layer_units,batch_size,monitor,patience,kernel_regularizer,dropout,timestamp
True,0.7900000214576721,0.5846614241600037,0.0005,binary_crossentropy,adam,,6,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE5FEC1F0>,0.3,2023-03-07 02:29:46
True,0.7900000214576721,0.4655177295207977,0.0005,binary_crossentropy,adam,,6,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE74AF460>,0.3,2023-03-07 02:30:28
True,0.8516666889190674,0.3575562834739685,0.0005,binary_crossentropy,adam,,23,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE74AF4C0>,0.3,2023-03-07 02:32:14
True,0.8416666388511658,0.3652519285678863,0.0005,binary_crossentropy,adam,,25,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE6EF1EB0>,0.3,2023-03-07 02:33:45
True,0.8475000262260437,0.3654554188251495,0.0005,binary_crossentropy,adam,,25,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE59A2970>,0.3,2023-03-07 02:36:33
True,0.8558333516120911,0.3596196472644806,0.0005,binary_crossentropy,adam,,23,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE6899190>,0.3,2023-03-07 02:41:59
False,0.7650444507598877,0.467672199010849,0.0005,binary_crossentropy,adam,,25,4,"[64, 32, 16, 8]",128,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE59A59A0>,0.3,2023-03-07 02:42:33
True,0.8600000143051147,0.3439041078090668,0.0005,binary_crossentropy,adam,,24,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE4D9A4F0>,0.3,2023-03-07 02:50:37
False,0.7870225310325623,0.4555539488792419,0.0005,binary_crossentropy,adam,,25,4,"[64, 32, 16, 8]",128,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE7BAAAF0>,0.3,2023-03-07 02:51:00
True,0.8579166531562805,0.3540138602256775,0.0005,binary_crossentropy,adam,,25,4,"[64, 32, 16, 8]",64,val_accuracy,5,<keras.regularizers.L2 object at 0x0000022AE73366A0>,0.3,2023-03-07 11:35:44
